g_hz,g_scale,line_width_hz,cavity_pulling,photon_number,a_gg,a_bb,a_dd,im_a_bd,residual
23200,1,1.80829011937,0.0143826518534,1811.45559644,0.138233881726,0.131397834558,0.730368283716,0.00247587516594,7.59294463404e-09
11600,0.5,0.872172519093,0.0142754909569,2505.34974906,0.161719529968,0.143641945194,0.694638524838,0.00689196637428,1.5258797065e-05
5800,0.25,0.699371255937,0.0145902871058,3918.4808631,0.209548583059,0.172855477772,0.61759593917,0.0159923889795,2.9329150356e-06
2900,0.125,1.54644697613,0.0212507295382,6173.08819882,0.285858369806,0.240421104664,0.47372052553,0.0310357423327,2.38539664042e-08
1450,0.0625,5.80666687102,-155.387612326,6705.19790235,0.303868236695,0.387592575932,0.308539187373,0.0378667558199,2.31604289299e-08
725,0.03125,305068.669602,-153.963485663,4664.94085849,0.234813382901,0.391574035817,0.373612581282,0.0258816929036,8.04303391792e-06
