atom_number,line_width_hz,cavity_pulling,photon_number,a_gg,a_bb,a_dd,im_a_bd,residual
220000,6.45355199244,0.0143479167625,355.966099535,0.186451107549,0.157937070164,0.655611822287,0.0115773705752,1.06896252423e-06
500000,3.48813385115,0.0142725133207,626.352368054,0.161721551367,0.143642363375,0.694636085258,0.00689233057351,9.25913227784e-06
1000000,2.38006434327,0.0143115557382,1044.08033492,0.14759928421,0.13613772535,0.71626299044,0.00423331787054,1.40635415354e-08
2000000,1.80828735592,0.0143826740372,1811.45559653,0.138233881729,0.13139783456,0.730368283711,0.00247587516651,1.5258825576e-05
4000000,1.50514946893,0.0144527120854,3277.27432303,0.13238464239,0.128527935766,0.739087421845,0.00138051081233,5.23920480638e-09
8000000,1.34456184592,0.0145060657074,6149.46230806,0.128956988761,0.126877397843,0.744165613396,0.000739407979169,3.00683500814e-08
