g_hz,g_scale,line_width_hz,cavity_pulling,photon_number,a_gg,a_bb,a_dd,im_a_bd,residual
23200,1,6.45355199244,0.0143479167625,355.966099535,0.186451107549,0.157937070164,0.655611822287,0.0115773705752,1.06896252423e-06
11600,0.5,8.21904260076,0.0159347963248,570.045312885,0.252321634734,0.205973336052,0.541705029215,0.0243056194797,3.81469979519e-06
5800,0.25,679.495204393,106.16553,799.845504512,0.323029386004,0.315484597623,0.361486016374,0.0394172574912,3.28751591273e-09
2900,0.125,247381.035747,152.306430233,663.737597531,0.281150030009,0.371037071775,0.347812898215,0.033477182046,3.81470175829e-06
1450,0.0625,348444.607571,155.217900386,69.8701590669,0.0984215874052,0.452011264444,0.44956714815,0.00352405940702,9.78219791989e-10
