eta_over_gamma,photon_number,a_gg,a_bb,a_dd,im_a_bd,residual_norm,converged,peak_frequency_hz,fwhm_hz,semianalytic_hz
0.1,0.000164187539521,0.833333880625,0.0833328289956,0.0833332903793,2.44208107492e-09,2.93084672936e-11,1,-154166.666667,nan,9839.30360355
0.5,0.00259226241034,0.500005184525,0.249995466855,0.24999934862,8.10910579245e-08,2.84605549494e-11,1,157500,nan,17527.6048828
1,0.971521033348,0.334628694711,0.332664359635,0.332706945654,4.80437264325e-05,1.84991271365e-11,1,-175000,nan,372397.642308
2,128.939221236,0.303151376989,0.281860101601,0.414988521411,0.00478285581416,8.44910166913e-10,1,0,nan,19.3067065482
3,206.272976673,0.260727415242,0.233539562557,0.505733022201,0.00691123058812,5.01540773696e-09,1,0,nan,8.89154508157
5,314.088230632,0.205122992957,0.176293208957,0.618583798086,0.0101757791675,2.71863097064e-09,1,0,nan,6.54339675087
6,355.966099535,0.186451107549,0.157937070164,0.655611822287,0.0115773705752,1.06896252423e-06,1,0,nan,6.45355199244
7,392.99624717,0.171465665912,0.14347488705,0.685059447038,0.0128800053587,1.87178422672e-09,1,0,nan,6.57924957321
