detuning_hz,peak_frequency_hz,local_pulling,linewidth_hz,photon_number,residual
100,1.43463516,0.0143463516,6.45357681,355.966099,3.84234445e-09
1000,14.3479001,0.0143479001,6.45337029,355.966099,1.52487861e-08
10000,143.478685,0.0143478685,6.43271839,355.966096,4.16723247e-09
100000,1434.78148,0.0143478148,4.36748293,355.965786,2.33450818e-09

metric,value
pulling_through_origin,0.0143478154
pulling_linear_fit,0.0143478137
linear_fit_intercept_hz,0.000149779627
