model,steady_photon_number,final_photon_number,max_photon_number,time_of_max_us,local_maxima,local_minima
reduced,355.966099535,436.493991414,142991.916596,0.085,37,37
full_meanfield,355.966099535,436.493009455,142991.814011,0.085,37,37
