detuning_hz,peak_frequency_hz,local_pulling,linewidth_hz,photon_number,residual
100,1.21588564,0.0121588564,6.54339527,314.088231,1.87558977e-09
1000,12.1589938,0.0121589938,6.54324844,314.088231,1.92101411e-09
10000,121.589168,0.0121589168,6.52856612,314.088228,2.71820607e-09
100000,1215.88762,0.0121588762,5.06030652,314.087976,2.56120204e-09

metric,value
pulling_through_origin,0.0121588766
pulling_linear_fit,0.0121588747
linear_fit_intercept_hz,0.000171316209
