detuning_hz,peak_frequency_hz,local_pulling,linewidth_hz,photon_number,residual
100,35.0838936,0.350838936,11.4031368,9966.25326,7.16100247e-11
1000,350.838885,0.350838885,11.3266426,9966.25312,1.90734864e-06
10000,3508.37433,0.350837433,3.67651397,9966.23871,3.24819619e-08
100000,35071.1192,0.350711192,768.506906,9964.79749,2.99148448e-10

metric,value
pulling_through_origin,0.350712455
pulling_linear_fit,0.350707456
linear_fit_intercept_hz,0.454499905
