eta_over_gamma,photon_number,a_gg,a_bb,a_dd,im_a_bd,residual_norm,converged,peak_frequency_hz,fwhm_hz,semianalytic_hz
0.1,0.00641144688844,0.833333760763,0.0833329140801,0.0833333251568,1.27298890442e-09,2.34738679766e-11,1,-154166.666667,nan,9179.74436765
0.5,0.0942242647861,0.500003768971,0.249996365267,0.249999865763,5.04680659644e-08,5.75631428126e-12,1,-157500,nan,15581.0905061
1,43.016113875,0.334480429703,0.332745785214,0.332773785083,4.26661155146e-05,4.47626284937e-11,1,-261666.666667,38333.3333333,1169208.98831
2,4303.27504576,0.268852400732,0.258988500319,0.472159098949,0.00163864256289,4.76837446149e-07,1,0,nan,21.6651013457
3,6769.87886057,0.220227186978,0.209644397494,0.570128415528,0.00226382863514,4.95924912315e-10,1,0,nan,13.7519877837
5,9966.25326458,0.163390932833,0.152845937258,0.683763129909,0.00332978835644,7.45144730592e-11,1,0,nan,11.4039094997
7,12112.0096858,0.131264051657,0.121067831415,0.747668116928,0.00427950611685,1.49088240882e-08,1,0,nan,11.6998716465
